Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['4818', 'Balboa', 'Drive', 'Orlando', 'FL', '32808']",3 beds,1 bath,"1,378 sq. ft",Residental,"$199,000"
"['7500', 'Harbor', 'Bend', 'Circle', 'Orlando', 'FL', '32822']",3 beds,2 baths,"1,589 sq. ft",Residental,"$399,999"
"['3808', 'Harbour', 'Drive', 'Orlando', 'FL', '32806']",3 beds,2 baths,"2,087 sq. ft",Residental,"$775,000"
"['1704', 'Curry', 'Ford', 'Road', 'Orlando', 'FL', '32806']",3 beds,2 baths,"1,586 sq. ft",Residental,"$369,900"
"['8114', 'Port', 'Said', 'Street', 'Orlando', 'FL', '32817']",3 beds,2 baths,"1,135 sq. ft",Residental,"$275,000"
"['6165', 'Carrier', 'Drive', '1210', 'Orlando', 'FL', '32819']",1 bed,1 bath,408 sq. ft,Residental,"$158,000"
"['Lot', '146', 'S', 'INTERNATIONAL', 'DRIVE', 'Orlando', 'FL', '32821']",NaN,NaN,NaN,Residental,"$157,000"
"['2000', 'Gerda', 'Terrace', 'Orlando', 'FL', '32804']",5 beds,3 baths,"3,249 sq. ft",Residental,"$874,900"
"['4400', 'Elaine', 'Place', 'Orlando', 'FL', '32812']",3 beds,2 baths,"1,574 sq. ft",Residental,"$409,900"
"['1848', 'Patterson', 'Avenue', 'Orlando', 'FL', '32811']",3 beds,1 bath,"1,020 sq. ft",Residental,"$250,000"
"['8761', 'The', 'Esplanade', '9', 'Orlando', 'FL', '32836']",2 beds,2 baths,"2,162 sq. ft",Residental,"$619,900"
"['9950', 'Indigo', 'Bay', 'Circle', 'Orlando', 'FL', '32832']",5 beds,3 baths,"2,700 sq. ft",Residental,"$594,900"
"['4507', 'Misty', 'Morn', 'Circle', 'Orlando', 'FL', '32812']",4 beds,2 baths,"1,792 sq. ft",Residental,"$479,800"
"['614', 'Terrace', 'Cove', 'Way', 'Orlando', 'FL', '32828']",4 beds,2 baths,"2,296 sq. ft",Residental,"$450,000"
"['2443', 'Long', 'Meadow', 'Way', 'Orlando', 'FL', '32817']",3 beds,2 baths,"1,185 sq. ft",Residental,"$359,900"
"['3641', 'Borah', 'Lane', 'Orlando', 'FL', '32839']",3 beds,2 baths,"1,533 sq. ft",Residental,"$335,000"
"['1017', 'S', 'Hiawassee', 'Road', '3736', 'Orlando', 'FL', '32835']",1 bed,1 bath,673 sq. ft,Residental,"$155,000"
"['7316', 'Balboa', 'Drive', '7316', 'Orlando', 'FL', '32818']",2 beds,1 bath,971 sq. ft,Residental,"$116,000"
"['8419', 'Karwick', 'Street', 'Orlando', 'FL', '32836']",7 beds,6 baths,"5,422 sq. ft",Residental,"$1,709,995"
"['1380', 'Lochbreeze', 'Way', 'Other', 'City', '-', 'In', 'The', 'State', 'Of', 'Florida', 'FL', '32828']",4 beds,2 baths,"2,017 sq. ft",Residental,"$535,000"
"['1212', 'S', 'Hiawassee', 'Road', '526', 'Orlando', 'FL', '32835']",3 beds,2 baths,"1,408 sq. ft",Residental,"$257,000"
"['19801', 'Sheldon', 'Street', 'Orlando', 'FL', '32833']",4 beds,2 baths,"2,431 sq. ft",Residental,"$625,000"
"['7519', 'Pacific', 'Heights', 'Circle', 'Orlando', 'FL', '32835']",3 beds,2 baths,"1,183 sq. ft",Residental,"$300,000"
"['7826', 'Dausset', 'Street', 'Orlando', 'FL', '32827']",4 beds,3 baths,"2,988 sq. ft",Residental,"$1,000,000"
"['9875', 'Magnolia', 'Woods', 'Boulevard', 'Orlando', 'FL', '32832']",4 beds,3 baths,"2,133 sq. ft",Residental,"$500,000"
"['8045', 'Elmstone', 'Circle', 'Orlando', 'FL', '32822']",3 beds,2 baths,"1,450 sq. ft",Residental,"$379,000"
"['1065', 'S', 'Hiawassee', 'Road', '1417', 'Orlando', 'FL', '32835']",2 beds,2 baths,934 sq. ft,Residental,"$195,000"
"['6499', 'Royal', 'Tern', 'Street', 'Orlando', 'FL', '32810']",3 beds,2 baths,"1,746 sq. ft",Residental,"$389,900"
"['5848', 'Windhover', 'Drive', '5848', 'Orlando', 'FL', '32819']",2 beds,2 baths,"1,258 sq. ft",Residental,"$229,990"
"['2500', 'Woodgate', 'Boulevard', '206', 'Orlando', 'FL', '32822']",2 beds,2 baths,900 sq. ft,Residental,"$169,500"
"['14237', 'Bella', 'Lane', 'Orlando', 'FL', '32832']",5 beds,4 baths,"3,735 sq. ft",Residental,"$1,295,000"
"['14730', 'Chadderton', 'Court', 'Orlando', 'FL', '32824']",4 beds,3 baths,"2,707 sq. ft",Residental,"$510,900"
"['720', 'Tuten', 'Trail', 'Orlando', 'FL', '32828']",4 beds,3 baths,"2,517 sq. ft",Residental,"$495,000"
"['11837', 'Old', 'Glory', 'Drive', 'Orlando', 'FL', '32837']",3 beds,2 baths,"1,916 sq. ft",Residental,"$445,000"
"['5433', 'Lake', 'Margaret', 'Drive', '194', 'Orlando', 'FL', '32812']",2 beds,2 baths,"1,023 sq. ft",Residental,"$212,000"
"['1945', 'Annapolis', 'Ave', 'Orlando', 'FL', '32826']",NaN,NaN,NaN,Residental,"$77,000"
"['20637', 'Netherland', 'Street', 'Orlando', 'FL', '32833']",4 beds,4 baths,"2,784 sq. ft",Residental,"$499,000"
"['5229', 'Marbella', 'Isle', 'Drive', 'Orlando', 'FL', '32837']",3 beds,2 baths,"1,640 sq. ft",Residental,"$435,000"
"['12610', 'Michigan', 'Woods', 'Court', 'Orlando', 'FL', '32824']",3 beds,2 baths,"1,348 sq. ft",Residental,"$340,000"
"['155', 'S', 'Court', 'Avenue', '1910', 'Orlando', 'FL', '32801']",1 bed,1 bath,804 sq. ft,Residental,"$298,925"
"['5710', 'Cardinals', 'Guard', 'Ave', 'Orlando', 'FL', '32839']",3 beds,2 baths,"1,000 sq. ft",Residental,"$265,000"
"['3727', 'S', 'Lake', 'Orlando', 'Parkway', '7', 'Orlando', 'FL', '32808']",2 beds,1 bath,"1,021 sq. ft",Residental,"$174,000"
"['3108', 'San', 'Leo', 'Drive', 'Orlando', 'FL', '32820']",4 beds,3 baths,"3,622 sq. ft",Residental,"$610,000"
"['3022', 'Troy', 'Drive', 'Orlando', 'FL', '32806']",3 beds,2 baths,"2,446 sq. ft",Residental,"$899,999"
"['9717', 'Pecky', 'Cypress', 'Way', 'Orlando', 'FL', '32836']",3 beds,2 baths,"2,241 sq. ft",Residental,"$499,990"
"['125', 'Sandhill', 'Crane', 'Run', 'Orlando', 'FL', '32828']",4 beds,2 baths,"1,931 sq. ft",Residental,"$410,000"
"['524', 'Vern', 'Drive', 'Orlando', 'FL', '32805']",3 beds,2 baths,"1,825 sq. ft",Residental,"$333,000"
"['4508', 'Southmore', 'Drive', 'Orlando', 'FL', '32812']",4 beds,2 baths,"1,161 sq. ft",Residental,"$315,000"
"['11523', 'Thurston', 'Way', 'Orlando', 'FL', '32837']",2 beds,2 baths,"1,117 sq. ft",Residental,"$270,000"
"['5411', 'Fairwood', 'Way', '302', 'Orlando', 'FL', '32808']",3 beds,2 baths,"1,472 sq. ft",Residental,"$143,900"
"['5429', 'Brookswood', 'Way', '804', 'Orlando', 'FL', '32808']",2 beds,2 baths,"1,270 sq. ft",Residental,"$125,900"
"['Caesar', 'Avenue', 'Orlando', 'FL', '32833']",NaN,NaN,NaN,Residental,"$70,000"
"['155', 'S', 'Court', 'Avenue', 'Orlando', 'FL', '32801']",1 bed,1 bath,729 sq. ft,Residental,"$291,900"
"['7699', 'Milano', 'Drive', 'Orlando', 'FL', '32835']",4 beds,3 baths,"2,667 sq. ft",Residental,"$735,000"
"['9740', '9th', 'Avenue', 'Orlando', 'FL', '32824']",4 beds,2 baths,"1,750 sq. ft",Residental,"$380,000"
