Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['5411', 'LEE', 'ANN', 'DRIVE,', 'Orlando,', 'FL', '32808']",4 BedsBds,2 BathsBa,"2,487 SqftSqft",Residential,"$515,000 USD"
"['2005', 'WINSLOW', 'DRIVE,', 'Orlando,', 'FL', '32812']",3 BedsBds,2 BathsBa,"1,252 SqftSqft",Residential,"$359,000 USD"
"['2314', 'W', 'SOUTH', 'STREET,', 'Orlando,', 'FL', '32805']",3 BedsBds,2 BathsBa,"1,440 SqftSqft",Residential,"$275,000 USD"
"['3717', 'ATRIUM', 'DRIVE,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,820 SqftSqft,Residential,"$225,000 USD"
"['3314', 'ROBERT', 'TRENT', 'JONES', 'DRIVE,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,447 SqftSqft",Residential,"$265,000 USD"
"['13184', 'MARKOWITZ', 'ALLEY,', 'Orlando,', 'FL', '32832']",5 BedsBds,4 BathsBa,"3,415 SqftSqft",Residential,"$768,713 USD"
"['7061', 'LAKE', 'CARLISLE', 'BOULEVARD,', 'Orlando,', 'FL', '32829']",4 BedsBds,3 BathsBa,"2,657 SqftSqft",Residential,"$600,000 USD"
"['10115', 'PEARSON', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,411 SqftSqft",Residential,"$727,905 USD"
"['3375', 'BROOKWATER', 'CIRCLE,', 'Orlando,', 'FL', '32822']",4 BedsBds,2 BathsBa,"1,933 SqftSqft",Residential,"$495,000 USD"
"['9955', 'PEARSON,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,788 SqftSqft",Residential,"$639,187 USD"
"['280', 'DORSCHER', 'ROAD,', 'Orlando,', 'FL', '32835']",NaN,NaN,NaN,Lots And Land,"$375,000 USD"
"['4804', 'NORMANDY', 'PLACE', 'E,', 'Orlando,', 'FL', '32811']",2 BedsBds,2 BathsBa,"1,080 SqftSqft",Residential,"$234,999 USD"
"['6528', 'S', 'GOLDENROD', 'ROAD,', 'Orlando,', 'FL', '32822']",3 BedsBds,3 BathsBa,"1,544 SqftSqft",Residential,"$400,000 USD"
"['5132', 'CYPRESS', 'CREEK', 'DRIVE,', 'Orlando,', 'FL', '32811']",2 BedsBds,2 BathsBa,"1,215 SqftSqft",Residential,"$245,000 USD"
"['1614', 'ROOSEVELT', 'AVENUE,', 'Orlando,', 'FL', '32804']",2 BedsBds,1 BathBa,"1,026 SqftSqft",Residential,"$362,000 USD"
"['1215', 'GUNNISON', 'AVENUE,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"1,200 SqftSqft",Residential,"$425,000 USD"
"['8620', 'NORTHLAKE', 'PARKWAY,', 'Orlando,', 'FL', '32827']",6 BedsBds,4 BathsBa,"3,487 SqftSqft",Residential,"$875,000 USD"
"['1033', 'S', 'HIAWASSEE', 'ROAD,', 'Orlando,', 'FL', '32835']",1 BedBd,1 BathBa,627 SqftSqft,Residential,"$139,900 USD"
"['40a', 'PEARSON', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,015 SqftSqft",Residential,"$510,990 USD"
"['2501', 'LAKE', 'SHORE', 'DRIVE,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,"3,643 SqftSqft",Residential,"$2,600,000 USD"
