Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
3,3,1678,1927,Townhouse,367000,4972 Matteo Trl,Orlando
3,3,1368,5892,Residential - Single Family,282000,1030 Ola Dr,Orlando
2,2,1256,6122,Condominium,249990,3324 Parkchester Square Blvd #202,Orlando
3,2.5,2216,NaN,Residential - Single Family,622462,10273 Folly Beach Rd,Orlando
3,2.5,1652,NaN,Multi Family,479990,14256 Sapelo Beach Dr,Orlando
2,2,900,756179,Condominium,169500,2500 Woodgate Blvd #206,Orlando
1,2,928,57259,Condominium,310000,150 E Robinson St #1222,Orlando
2,2,991,5936,Condominium,199999,6040 Westgate Dr #103,Orlando
2,2,1258,5436,Condominium,229990,5848 Windhover Dr #5848,Orlando
4,2,1388,31147,Residential - Single Family,349000,1426 Cape Cove Blvd,Orlando
2,2,1132,57259,Condominium,500000,150 E Robinson St #1705,Orlando
2,2,876,1037,Condominium,199900,4300 Hector Ct #3,Orlando
,NaN,4108,17561,Multi Family,1100000,320 S Lee Ave,Orlando
2,2,1054,8224,Condominium,155000,4532 Commander Dr #2138,Orlando
4,3,1392,7728,Residential - Single Family,530000,4020 Ibis Dr,Orlando
2,1,965,NaN,Condominium,165000,525 Conway Rd #212,Orlando
5,6,5129,14723,Residential - Single Family,2750000,8634 Farthington Way,Orlando
1,1,580,9080,Condominium,139900,4225 Thornbriar Ln #210,Orlando
3,2,2061,9427,Residential - Single Family,515000,10081 Cobalt Bay Rd,Orlando
NaN,NaN,6515,NaN,Land,350000,2222 Delaney Ave,Orlando
2,1,852,4229,Residential - Single Family,359999,510 S Eola Dr,Orlando
3,2,1775,20395,Condominium,419900,6312 Buford St #204,Orlando
5,7,6174,15098,Residential - Single Family,3975000,8527 Lake Nona Shore Dr,Orlando
5,5,3664,3235,Residential - Single Family,1449000,8335 Edelman Ln,Orlando
3,2,1440,18338,Residential - Single Family,275000,2314 W South St,Orlando
2,1,928,10131,Residential - Single Family,320000,1333 W Smith St,Orlando
2,2,988,8509,Condominium,184000,5148 Conroy Rd #11,Orlando
2,3,1546,1094,Condominium,275000,2804 Polvadero Ln #103,Orlando
3,4,1262,3880,Residential - Single Family,315000,5242 Florida Holly Dr,Orlando
3,2,1450,9584,Residential - Single Family,480000,4742 Fontana St,Orlando
3,2,1426,5660,Condominium,186900,4311 S Semoran Blvd #8,Orlando
2,2,1021,422158,Condominium,174000,3727 S Lake Orlando Pkwy #7,Orlando
2,2,1486,NaN,Multi Family,449990,7521 Laureate Boulevard # 5304,Orlando
3,2,1000,6798,Residential - Single Family,265000,5710 Cardinals Guard Ave,Orlando
5,5,3864,3256,Residential - Single Family,1495000,8319 Edelman Ln,Orlando
1,1,804,3668,Condominium,298925,155 S Court Ave #1910,Orlando
1,1,680,756179,Condominium,175000,2560 Woodgate Blvd #203,Orlando
2,2,1486,0,Condominium,450475,7521 Laureate Blvd #5304,Orlando
3,2,1812,16917,Residential - Single Family,324999,1415 Nieuport Ln,Orlando
3,4,3111,28183,Condominium,995000,1110 SW Ivanhoe Blvd #26,Orlando
2,2,988,8978,Condominium,189000,5120 Conroy Rd #28,Orlando
1,1,729,3668,Condominium,291900,155 S Court Ave #1906,Orlando
4,4,2667,9923,Residential - Single Family,735000,7699 Milano Dr,Orlando
2,2,1650,3847,Townhouse,480990,40 Pearson Ave # b,Orlando
3,2,1780,3847,Townhouse,488990,40 Pearson Ave # c,Orlando
4,3,2622,7495,Residential - Single Family,1195000,1410 Christy Ave,Orlando
4,5,4831,9468,Residential - Single Family,1800000,10914 Savona Way,Orlando
3,3,2015,4654,Townhouse,510990,40 Pearson Ave # a,Orlando
4,3,2883,7310,Residential - Single Family,764869,181 Mcmillian Dr,Orlando
3,2,1113,0,Condominium,190000,1855 Caralee Blvd #2,Orlando
4,4,2712,6948,Residential - Single Family,695000,1232 Poinsettia Ave,Orlando
NaN,NaN,8833,NaN,Land,399999,1438 W Yale St,Orlando
3,3,2283,5366,Residential - Single Family,839900,13812 Eliot Ave,Orlando
2,2,956,6860,Condominium,189000,4752 Walden Cir #38,Orlando
2,2,1014,9384,Condominium,169000,2564 Robert Trent Jones Dr #1311,Orlando
6,4,4556,8219,Multi Family,1336800,1407 Illinois St,Orlando
2,1,737,4015,Residential - Single Family,315000,1418 E Harwood St,Orlando
3,2,1423,8756,Condominium,250000,7280 Westpointe Blvd #817,Orlando
2,1,1169,7370,Residential - Single Family,400000,106 E Rollins St,Orlando
3,2,1340,8468,Residential - Single Family,499900,2732 Walnut St,Orlando
4,2,1048,8078,Residential - Single Family,240000,4644 Barley St,Orlando
